gold,pred,time_sec,support,avg_time,var_time
i,i:,0.100000,2.000000,0.050000,0.000000
l,i,0.006000,1.000000,0.006000,0.000000
r,d,0.026000,1.000000,0.026000,0.000000
k,i,0.009000,1.000000,0.009000,0.000000
q,q,0.130000,1.000000,0.130000,0.000000
q,UNK,0.130000,1.000000,0.130000,0.000000
UNK,q,0.130000,1.000000,0.130000,0.000000
l,n,0.050000,1.000000,0.050000,0.000000
t:,i,0.010000,1.000000,0.010000,0.000000
g,t:,0.050000,1.000000,0.050000,0.000000
s,l,0.041000,1.000000,0.041000,0.000000
a,l,0.006000,1.000000,0.006000,0.000000
a,ħ,0.013000,1.000000,0.013000,0.000000
ħ,n,0.010000,1.000000,0.010000,0.000000
a,m,0.002000,1.000000,0.002000,0.000000
a,ʃ,0.003000,1.000000,0.003000,0.000000
n,j,0.044000,1.000000,0.044000,0.000000
zˤ,i,0.013000,1.000000,0.013000,0.000000
r,n,0.016000,1.000000,0.016000,0.000000
r,s,0.006000,1.000000,0.006000,0.000000
s,i,0.002000,1.000000,0.002000,0.000000
l,z,0.007000,1.000000,0.007000,0.000000
d,t,0.040000,1.000000,0.040000,0.000000
a,t,0.011000,1.000000,0.011000,0.000000
m:,u,0.021000,1.000000,0.021000,0.000000
t,dz,0.090000,1.000000,0.090000,0.000000
UNK,dz,0.090000,1.000000,0.090000,0.000000
r,z,0.020000,1.000000,0.020000,0.000000
k:,s,0.020000,1.000000,0.020000,0.000000
a,kʷ:,0.022000,1.000000,0.022000,0.000000
l:,j,0.011000,1.000000,0.011000,0.000000
d,l:,0.025000,1.000000,0.025000,0.000000
k,f,0.014000,1.000000,0.014000,0.000000
d,n:,0.065000,1.000000,0.065000,0.000000
n:,t,0.017000,1.000000,0.017000,0.000000
i,l,0.006000,1.000000,0.006000,0.000000
i,w,0.026000,1.000000,0.026000,0.000000
i,dˤ,0.012000,1.000000,0.012000,0.000000
dˤ,l:,0.030000,1.000000,0.030000,0.000000
ʒ:,ʒ:,0.140000,1.000000,0.140000,0.000000
ʒ:,UNK,0.140000,1.000000,0.140000,0.000000
UNK,ʒ:,0.140000,1.000000,0.140000,0.000000
l,u,0.004000,1.000000,0.004000,0.000000
l,t,0.029000,1.000000,0.029000,0.000000
dˤ:,w,0.100000,1.000000,0.100000,0.000000
dˤ:,dˤ:,0.084000,1.000000,0.084000,0.000000
UNK,dˤ:,0.084000,1.000000,0.084000,0.000000
dˤ:,rˤ,0.016000,1.000000,0.016000,0.000000
dˤ:,UNK,0.200000,1.000000,0.200000,0.000000
d,rˤ,0.025000,1.000000,0.025000,0.000000
s,g,0.004000,1.000000,0.004000,0.000000
dˤ,rˤ,0.033000,1.000000,0.033000,0.000000
u,w,0.030000,1.000000,0.030000,0.000000
a,w,0.077000,1.000000,0.077000,0.000000
t,z:,0.130000,1.000000,0.130000,0.000000
l,ʒ,0.013000,1.000000,0.013000,0.000000
u,l,0.009000,1.000000,0.009000,0.000000
g,t,0.010000,1.000000,0.010000,0.000000
q:,m,0.015000,1.000000,0.015000,0.000000
ʁ,k,0.041000,1.000000,0.041000,0.000000
ʁ,ʁ`,0.120000,1.000000,0.120000,0.000000
UNK,ʁ`,0.120000,1.000000,0.120000,0.000000
j,d,0.001000,1.000000,0.001000,0.000000
m,d,0.010000,1.000000,0.010000,0.000000
m,g,0.060000,1.000000,0.060000,0.000000
a,z,0.020000,1.000000,0.020000,0.000000
a,d:,0.013000,1.000000,0.013000,0.000000
q:,d:,0.015000,1.000000,0.015000,0.000000
w,s,0.011000,1.000000,0.011000,0.000000
l,a,0.017000,1.000000,0.017000,0.000000
u,m:,0.030000,1.000000,0.030000,0.000000
b,m:,0.023000,1.000000,0.023000,0.000000
b,u,0.007000,1.000000,0.007000,0.000000
u,i,0.013000,1.000000,0.013000,0.000000
r,b,0.104000,1.000000,0.104000,0.000000
k,s,0.008000,1.000000,0.008000,0.000000
t,g,0.013000,1.000000,0.013000,0.000000
f,t,0.006000,1.000000,0.006000,0.000000
d:,i,0.008000,1.000000,0.008000,0.000000
i,k,0.024000,1.000000,0.024000,0.000000
g,r,0.006000,1.000000,0.006000,0.000000
i,a,0.042000,1.000000,0.042000,0.000000
i,ʕ,0.021000,1.000000,0.021000,0.000000
z:,ʕ,0.008000,1.000000,0.008000,0.000000
z:,z:,0.142000,1.000000,0.142000,0.000000
z:,UNK,0.150000,1.000000,0.150000,0.000000
g,ɡʷ:,0.010000,1.000000,0.010000,0.000000
ɡʷ,ɡʷ:,0.010000,1.000000,0.010000,0.000000
a,ɡʷ:,0.030000,1.000000,0.030000,0.000000
UNK,ɡʷ:,0.177000,1.000000,0.177000,0.000000
i,m,0.006000,1.000000,0.006000,0.000000
m,u,0.005000,1.000000,0.005000,0.000000
a,i,0.037000,1.000000,0.037000,0.000000
k:,t,0.020000,1.000000,0.020000,0.000000
k:,a,0.005000,1.000000,0.005000,0.000000
i,n:,0.042000,1.000000,0.042000,0.000000
s:,t,0.009000,1.000000,0.009000,0.000000
dˤ,u,0.009000,1.000000,0.009000,0.000000
k,g,0.030000,1.000000,0.030000,0.000000
j,n:,0.092000,1.000000,0.092000,0.000000
d,n,0.029000,1.000000,0.029000,0.000000
d:,u,0.006000,1.000000,0.006000,0.000000
ʒ,g,0.052000,1.000000,0.052000,0.000000
j,i,0.056000,1.000000,0.056000,0.000000
n,l,0.036000,1.000000,0.036000,0.000000
u,b,0.012000,1.000000,0.012000,0.000000
s,z,0.060000,1.000000,0.060000,0.000000
f,tˤ:,0.030000,1.000000,0.030000,0.000000
g,s,0.017000,1.000000,0.017000,0.000000
a,r:,0.030000,1.000000,0.030000,0.000000
u,r,0.010000,1.000000,0.010000,0.000000
d,b,0.085000,1.000000,0.085000,0.000000
r,k,0.007000,1.000000,0.007000,0.000000
tˤ:,sˤ,0.036000,1.000000,0.036000,0.000000
rˤ,i,0.013000,1.000000,0.013000,0.000000
s,r,0.019000,1.000000,0.019000,0.000000
ʃ,t,0.001000,1.000000,0.001000,0.000000
t:,ʃ,0.006000,1.000000,0.006000,0.000000
t:,a,0.006000,1.000000,0.006000,0.000000
b,a,0.010000,1.000000,0.010000,0.000000
n,b,0.007000,1.000000,0.007000,0.000000
t,ʕ,0.007000,1.000000,0.007000,0.000000
rˤ,u,0.038000,1.000000,0.038000,0.000000
r:,ɡʷ,0.030000,1.000000,0.030000,0.000000
χ,χ,0.110000,1.000000,0.110000,0.000000
