gold,pred,time_sec,support,avg_time,var_time
s,r,0.019000,1.000000,0.019000,0.000000
ʃ,t,0.001000,1.000000,0.001000,0.000000
t:,ʃ,0.006000,1.000000,0.006000,0.000000
t:,a,0.006000,1.000000,0.006000,0.000000
b,a,0.010000,1.000000,0.010000,0.000000
n,b,0.007000,1.000000,0.007000,0.000000
t,ʕ,0.007000,1.000000,0.007000,0.000000
rˤ,u,0.038000,1.000000,0.038000,0.000000
r:,ɡʷ,0.030000,1.000000,0.030000,0.000000
h,a,0.026000,1.000000,0.026000,0.000000
h,i,0.027000,1.000000,0.027000,0.000000
a,s,0.007000,1.000000,0.007000,0.000000
i,b,0.009000,1.000000,0.009000,0.000000
d:,b,0.053000,1.000000,0.053000,0.000000
a,ʁ,0.009000,1.000000,0.009000,0.000000
d,ʒ,0.044000,1.000000,0.044000,0.000000
t,ʃ,0.019000,1.000000,0.019000,0.000000
dˤ,i,0.028000,1.000000,0.028000,0.000000
