file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
common_voice_22_0_34003,0.0,2.5279,utt,-44.65333575222332,-45.401210512433735,1.4710839257030466,9.03029765847715
common_voice_22_0_17086,0.0,1.8498,utt,-45.4787109375,-44.440787595861096,1.4710839257030466,3.0894660872245154
common_voice_22_0_13070,0.0,2.2915625,utt,-47.80012878684498,-48.2705114364624,1.4710830713789795,8.756561708056276
common_voice_22_0_26215,0.0,1.958375,utt,-57.95312998246173,-58.460300869411896,1.4710822170549123,17.590152861470543
common_voice_22_0_21630,0.0,2.0002,utt,-48.2642919921875,-51.056920302541634,1.4710822170549123,15.515397029641745
common_voice_22_0_24186,0.0,1.9354,utt,-48.508336018041234,-48.02372254265679,1.4710822170549123,12.988583539204424
common_voice_22_0_14758,0.0,3.106,utt,-50.669573326969456,-51.634307861328125,1.4709522590737905,14.90846819642953
common_voice_22_0_8005,0.0,2.2616875,utt,-58.64258244607301,-58.28544570922852,1.4709156787023143,26.502243026408742
common_voice_22_0_3583,0.0,3.12475,utt,-48.0920159755609,-47.793040098967374,1.4699295064407867,9.449390252221407
common_voice_22_0_21787,0.0,2.5120625,utt,-52.51484297186255,-53.351789362290326,1.4699295064407867,9.357141248945155
common_voice_22_0_14963,0.0,2.3151,utt,-51.78464271282328,-51.570177981728,1.4699295064407867,20.584131829634487
common_voice_22_0_22199,0.0,2.7164,utt,-44.9255801930147,-50.174800634384155,1.4699295064407867,17.772540900344033
common_voice_22_0_18405,0.0,1.5066,utt,-48.35811064259106,-47.03416061401367,1.4699295064407867,25.916240362030663
common_voice_22_0_3587,0.0,3.1126,utt,-56.898500301446944,-56.101038163708104,1.4699295064407867,17.074555163644156
common_voice_22_0_11645,0.0,1.8721,utt,-47.535318140040104,-46.63782268100314,1.4699292865162898,6.844300241835892
common_voice_22_0_26025,0.0,1.75825,utt,-51.3370527787642,-49.34546375274658,1.4699291765540414,21.356895180960596
common_voice_22_0_9132,0.0,2.0565625,utt,-46.341199560072816,-45.959839230492,1.469929066591793,17.312597743093157
common_voice_22_0_28842,0.0,1.6394,utt,-50.811451981707314,-51.16168111165364,1.469929066591793,12.008216641691634
common_voice_22_0_26200,0.0,1.793,utt,-44.96209955481844,-44.32966232299805,1.4699286267427991,19.107200738794305
common_voice_22_0_4001,0.0,3.5458,utt,-56.83851232394366,-55.27717483520508,1.4699286267427991,6.804721414536081
common_voice_22_0_12776,0.0,3.0495,utt,-47.96304751536885,-48.23533561012962,1.4699286267427991,17.34786232647162
common_voice_22_0_35780,0.0,0.9321875,utt,-63.49756909442204,-61.830964769635884,1.4699286267427991,8.422865035912945
common_voice_22_0_4183,0.0,3.0744,utt,-48.9752296671417,-49.85995476586478,1.4699286267427991,16.42137541638421
common_voice_22_0_79,0.0,5.7979,utt,-55.235728717672416,-54.60023988996233,1.4695950074025697,7.05445993330569
common_voice_22_0_16888,0.0,1.2800625,utt,-50.57427978515625,-49.90629577636719,1.4695950074025697,12.501897157255584
common_voice_22_0_16854,0.0,1.7065,utt,-44.383809050621345,-43.66984882354736,1.4695950074025697,14.808960139186023
common_voice_22_0_11088,0.0,1.7240625,utt,-50.594624364098834,-50.69010906219482,1.4695950074025697,28.688895189311403
common_voice_22_0_35615,0.0,0.8840625,utt,-52.65658291903409,-52.35779294100675,1.4695950074025697,12.812372926629433
common_voice_22_0_16095,0.0,2.423875,utt,-48.11898324509298,-46.70580573703932,1.4695950074025697,12.900739925726828
common_voice_22_0_10903,0.0,1.595875,utt,-52.35963134765625,-51.36465120315552,1.4695950074025697,20.933597131468012
common_voice_22_0_2439,0.0,4.0249,utt,-51.58444107587065,-53.930200525232266,1.4695950074025697,16.742716097093577
common_voice_22_0_6998,0.0,2.24825,utt,-45.5339453125,-48.063336531321205,1.4695950074025697,14.43097789127399
common_voice_22_0_3038,0.0,2.3616,utt,-48.556069584216104,-49.31301162719726,1.4695950074025697,4.028056950882977
common_voice_22_0_7608,0.0,3.200875,utt,-47.58993225097656,-50.19671474803578,1.4695950074025697,6.532332117317008
common_voice_22_0_23850,0.0,1.9652,utt,-49.69704255234772,-49.4765121459961,1.4695950074025697,13.318346666799114
common_voice_22_0_24944,0.0,1.9193,utt,-56.04617818196615,-59.62896919250488,1.4695950074025697,19.698933249934118
common_voice_22_0_6182,0.0,3.3688,utt,-49.497235487759646,-51.921136474609376,1.4695950074025697,11.868075062279221
common_voice_22_0_31524,0.0,1.6181875,utt,-49.299467110339506,-48.23367347717285,1.4695950074025697,13.436539429665913
common_voice_22_0_9812,0.0,1.5008,utt,-49.01442057291667,-48.888292948404946,1.4695950074025697,27.308690157655107
common_voice_22_0_6946,0.0,2.1184,utt,-54.680968086674525,-54.96066029866537,1.4695950074025697,10.55895625580977
common_voice_22_0_30690,0.0,2.0396,utt,-49.33215092677696,-48.74188542366028,1.4695950074025697,17.07440837603903
common_voice_22_0_35455,0.0,1.453,utt,-68.57418507543103,-71.93009991115994,1.4695950074025697,14.182017729079854
common_voice_22_0_9003,0.0,3.0620625,utt,-42.851240170547385,-43.66228012084961,1.4695950074025697,21.03529286045068
common_voice_22_0_26122,0.0,2.1173,utt,-55.10744951356132,-51.92888232639858,1.4695950074025697,6.87755052281477
common_voice_22_0_8922,0.0,1.9658,utt,-56.865586334073605,-59.374722072056365,1.4695950074025697,-1.6754892930458212
common_voice_22_0_3514,0.0,3.0895,utt,-46.38638374797735,-45.53087615966797,1.4695950074025697,7.672902601842322
common_voice_22_0_2946,0.0,3.0648,utt,-57.65496068218954,-54.479389653061375,1.4695950074025697,13.714402526618594
common_voice_22_0_23139,0.0,1.6063,utt,-52.568783967391305,-51.98993593103745,1.4695950074025697,11.665391314383454
common_voice_22_0_16375,0.0,2.1570625,utt,-60.37056929976852,-62.14060792468843,1.4695950074025697,10.526824946738872
common_voice_22_0_30698,0.0,1.7774,utt,-48.59595000877809,-47.00007915496826,1.4695950074025697,10.564573654948136
common_voice_22_0_2643,0.0,2.978,utt,-58.58366977768456,-56.94898420764554,1.4695950074025697,7.957877165810869
common_voice_22_0_1816,0.0,3.4763,utt,-55.7498989762931,-53.03138279270481,1.4695950074025697,15.826240201636146
common_voice_22_0_10621,0.0,1.6851,utt,-47.29382974297337,-48.08748009091332,1.4695950074025697,12.003121283461201
common_voice_22_0_16359,0.0,2.3033,utt,-54.36168902853261,-55.62393546104431,1.4695950074025697,5.869845180399443
common_voice_22_0_8953,0.0,3.1519,utt,-65.23915550595238,-54.16948422518644,1.4695950074025697,34.36594398913938
common_voice_22_0_32826,0.0,1.7238,utt,-53.69352402797965,-53.67599841526577,1.469594479479702,18.393716926850594
common_voice_22_0_34906,0.0,1.4044,utt,-45.354038783482146,-44.3198207508434,1.469594479479702,18.16143556350052
common_voice_22_0_18523,0.0,1.4675,utt,-50.50591584289966,-49.250311279296874,1.469594479479702,17.358529528642695
common_voice_22_0_2297,0.0,2.5136,utt,-47.98424271663347,-47.77333143022325,1.469594479479702,24.508825190030965
common_voice_22_0_12101,0.0,1.5606,utt,-50.03357246594551,-48.944202249700375,1.469594479479702,15.318854763667115
common_voice_22_0_34054,0.0,1.4011,utt,-51.2468505859375,-49.991716384887695,1.469594479479702,11.388813839729021
common_voice_22_0_13023,0.0,1.6026,utt,-45.448394775390625,-45.34760648554022,1.4695940175471929,15.397882219624105
common_voice_22_0_15701,0.0,1.6055,utt,-45.980532438858695,-45.37224369049072,1.4695940175471929,-2.856258567619964
common_voice_22_0_20425,0.0,1.4739,utt,-49.466876594387756,-48.46260797409784,1.4695940175471929,23.741689511501136
common_voice_22_0_10720,0.0,1.8574,utt,-48.72164293514785,-49.04014698664347,1.4695940175471929,23.030908549834297
common_voice_22_0_15696,0.0,1.8581875,utt,-44.689673639112904,-43.99926948547363,1.4695940175471929,4.218392811100555
common_voice_22_0_10678,0.0,1.6700625,utt,-43.118207920097305,-42.01253938674927,1.4695940175471929,2.9178279692520963
common_voice_22_0_4202,0.0,2.3259,utt,-44.94205589458154,-43.894754205431255,1.4695940175471929,0.16027583940148915
common_voice_22_0_22485,0.0,1.6433,utt,-45.755019769435975,-42.97855911254883,1.4695940175471929,11.477484390061253
common_voice_22_0_18062,0.0,1.2339,utt,-53.6595885734248,-53.910030873616535,1.4695940175471929,0.11679181571349595
common_voice_22_0_18080,0.0,1.442875,utt,-48.70951673719618,-48.659170150756836,1.4695940175471929,11.425658897228436
common_voice_22_0_10682,0.0,1.5189,utt,-46.83829538445724,-46.678517532348636,1.4695940175471929,26.629666916745087
common_voice_22_0_33897,0.0,1.1794,utt,-49.392553297139834,-50.09032122294108,1.4695939515568344,16.294361446464265
